dataset 2DDDTW 2DDLCSS 2DDTW 2DLCSS ACF CC CDM CDTW CID CORT DLCSSDTW DDLCSSDTW DDDTW DDED DDLCSS DDTW DED DLCSS DTW DTWc ED EDR ERP FC GLK HDTW IDDTW
UMD 0.7 10.4 1.4 17.4 29.9 36.8 29.2 20.8 13.9 25.7 0.7 0.7 0.7 20.8 11.8 4.2 22.2 11.8 0.7 2.8 23.6 9.0 5.6 23.6 30.6 1.4 0.7
UWaveGestureLibraryAll 6.7 4.3 39.7 56.1 63.2 12.5 87.2 11.8 6.0 6.4 4.0 3.7 6.5 5.2 4.3 16.9 58.5 30.2 10.8 3.4 5.2 4.7 3.9 5.2 79.1 11.2 4.8
UWaveGestureLibraryX 21.4 20.0 62.3 73.8 59.8 46.2 87.5 39.1 23.8 25.6 23.6 20.2 22.1 26.1 20.5 33.2 39.3 28.1 27.2 22.7 26.1 25.3 24.2 26.1 64.7 25.7 24.1
UWaveGestureLibraryY 28.7 28.3 67.3 74.6 71.6 43.8 87.0 43.4 29.0 34.6 30.9 25.6 28.4 33.8 28.6 41.0 58.3 39.2 36.6 30.1 33.8 33.4 31.1 33.8 63.8 37.2 32.5
UWaveGestureLibraryZ 28.7 25.8 60.6 69.4 0.0 0.0 85.1 40.7 0.0 0.0 32.1 28.3 30.4 35.1 27.5 42.0 44.8 34.4 34.2 32.2 35.0 32.7 31.5 35.0 0.0 35.6 32.7
Wafer 2.0 0.5 1.9 0.4 1.1 0.6 9.1 0.7 0.6 0.5 0.5 0.5 2.0 0.5 0.5 2.0 0.9 0.8 2.0 0.4 0.5 1.5 0.9 0.5 8.2 2.4 1.2
Wine 42.6 50.0 57.4 50.0 51.9 46.3 48.1 38.9 38.9 38.9 42.6 42.6 42.6 38.9 50.0 50.0 50.0 50.0 42.6 38.9 38.9 50.0 35.2 38.9 53.7 38.9 42.6
WordSynonyms 26.8 27.9 46.7 40.1 70.4 40.8 87.5 47.8 35.7 41.2 25.6 24.0 27.0 38.4 27.4 30.9 50.5 31.8 35.1 26.2 38.2 31.3 30.6 38.2 76.5 32.8 31.8
Worms 41.6 37.7 63.6 57.1 37.7 50.6 57.1 44.2 46.8 49.4 49.4 40.3 41.6 54.5 36.4 33.8 57.1 42.9 41.6 46.8 54.5 40.3 44.2 54.5 28.6 50.6 41.6
WormsTwoClass 37.7 33.8 49.4 44.2 27.3 33.8 37.7 31.2 39.0 40.3 41.6 41.6 35.1 39.0 26.0 26.0 39.0 23.4 37.7 41.6 39.0 29.9 33.8 39.0 20.8 41.6 36.4
Yoga 14.4 12.3 31.8 20.1 33.4 16.5 48.6 18.1 16.4 17.7 15.1 14.1 14.4 17.3 15.0 18.0 25.1 15.0 16.4 15.6 17.0 13.5 14.1 17.0 36.8 17.3 16.1
